File name	Line	Function	Duration[ms]	Explored nodes
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20200916170221_SeatNR.cs	6	_CinemaApp.Data.Migrations.SeatNR.Up$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20200916170221_SeatNR.cs	14	_CinemaApp.Data.Migrations.SeatNR.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20201210131410_Location.cs	40	_CinemaApp.Data.Migrations.Location.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20201210160312_Locations.cs	6	_CinemaApp.Data.Migrations.Locations.Up$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20201210160312_Locations.cs	34	_CinemaApp.Data.Migrations.Locations.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\AccessDenied.cshtml.cs	10	_CinemaApp.Areas.Identity.Pages.Account.AccessDeniedModel.OnGet$$	0	2
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\Manage\EnableAuthenticator.cshtml.cs	130	_CinemaApp.Areas.Identity.Pages.Account.Manage.EnableAuthenticatorModel.FormatKey$string$	40	553
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\Manage\EnableAuthenticator.cshtml.cs	147	_CinemaApp.Areas.Identity.Pages.Account.Manage.EnableAuthenticatorModel.GenerateQrCodeUri$string.string$	0	2
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\ExternalLogin.cshtml.cs	56	_CinemaApp.Areas.Identity.Pages.Account.ExternalLoginModel.OnGetAsync$$	0	2
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\ExternalLogin.cshtml.cs	61	_CinemaApp.Areas.Identity.Pages.Account.ExternalLoginModel.OnPost$string.string$	0	2
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\ForgotPasswordConfirmation.cshtml.cs	11	_CinemaApp.Areas.Identity.Pages.Account.ForgotPasswordConfirmation.OnGet$$	0	2
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Controllers\HomeController.cs	27	_CinemaApp.Controllers.HomeController.Index$$	0	2
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Controllers\HomeController.cs	32	_CinemaApp.Controllers.HomeController.Privacy$$	0	2
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Controllers\LocationController.cs	13	_CinemaApp.Controllers.LocationController.Index$$	0	2
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\Lockout.cshtml.cs	12	_CinemaApp.Areas.Identity.Pages.Account.LockoutModel.OnGet$$	0	2
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\Logout.cshtml.cs	25	_CinemaApp.Areas.Identity.Pages.Account.LogoutModel.OnGet$$	0	2
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Program.cs	13	_CinemaApp.Program.Main$string$$$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\ResendEmailConfirmation.cshtml.cs	38	_CinemaApp.Areas.Identity.Pages.Account.ResendEmailConfirmationModel.OnGet$$	0	2
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\ResetPassword.cshtml.cs	47	_CinemaApp.Areas.Identity.Pages.Account.ResetPasswordModel.OnGet$string$	0	4
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\ResetPasswordConfirmation.cshtml.cs	12	_CinemaApp.Areas.Identity.Pages.Account.ResetPasswordConfirmationModel.OnGet$$	0	2
